AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
4.38831E+11,80170383840,88420836800,54529183000,1.2395E+11,2.2823E+11,1.16655E+11,48396457860,2.4492E+11,70307231200,1.08551E+11,2.01668E+11,1.13639E+11,2.46046E+11,1.9826E+11,1.64913E+11,94666476200,81606079200,1.41139E+11,2.83262E+11,51392175300,1.91989E+11,2.08169E+11,31625354920,74208933000,95668663430,98018912720,1.34788E+11,2.36997E+11,3.79949E+11
4.43119E+11,78692340160,88036070360,54095280950,1.2325E+11,2.27728E+11,1.15386E+11,47621920900,2.438E+11,69274292000,1.07619E+11,1.99378E+11,1.13739E+11,2.44017E+11,1.95098E+11,1.64248E+11,94326596560,81120816920,1.40144E+11,2.78413E+11,50822259300,1.89473E+11,2.07156E+11,31405008210,73375239000,95448461270,95883368370,1.35331E+11,2.3397E+11,3.781E+11
4.36933E+11,77915558080,87093015360,53654902750,1.21877E+11,2.25525E+11,1.14332E+11,46617443280,2.4105E+11,68735367200,1.06388E+11,1.95775E+11,1.11995E+11,2.41255E+11,1.91485E+11,1.65268E+11,93906745240,80075110880,1.39734E+11,2.75988E+11,50011037160,1.86957E+11,2.09018E+11,30994192310,72673716000,94283224840,93927930170,1.31783E+11,2.37323E+11,3.76384E+11
4.42064E+11,77915558080,86361204680,54088804800,1.2115E+11,2.24366E+11,1.136E+11,47101528880,2.40032E+11,69359621760,1.06201E+11,1.98623E+11,1.12543E+11,2.42242E+11,1.91033E+11,1.64381E+11,93236982420,80355332760,1.3833E+11,2.7649E+11,50445111330,1.87288E+11,2.10716E+11,30755172150,72572046000,94356625560,94607187650,1.32212E+11,2.37648E+11,3.74843E+11
4.44835E+11,80547986240,89703391600,54872418950,1.23897E+11,2.24849E+11,1.17155E+11,48892645600,2.46957E+11,70962923040,1.08164E+11,2.02402E+11,1.15084E+11,2.47371E+11,1.97696E+11,1.67485E+11,94406568240,81565071120,1.38974E+11,2.82259E+11,52259683680,1.90466E+11,2.1329E+11,31434885730,75215466000,97182553280,97272758670,1.34101E+11,2.43476E+11,3.78716E+11
4.47718E+11,81346345600,89009303120,55442320150,1.2535E+11,2.27341E+11,1.1828E+11,49703488980,2.48484E+11,71856640000,1.09324E+11,2.03925E+11,1.15856E+11,2.52077E+11,1.97658E+11,1.6744E+11,94706462040,82508256960,1.38388E+11,2.85352E+11,52273915620,1.90135E+11,2.14906E+11,31617885540,75510309000,98182638090,98904005800,1.34759E+11,2.43573E+11,3.82722E+11
4.50651E+11,82069184480,90125880240,55850317600,1.25673E+11,2.29099E+11,1.19388E+11,49400935480,2.48281E+11,71614123840,1.09367E+11,2.04812E+11,1.16828E+11,2.53063E+11,1.98147E+11,1.68061E+11,94686469120,82973015200,1.36808E+11,2.88028E+11,52700873820,1.94306E+11,2.15618E+11,31819558800,75967824000,98081712100,99542096160,1.33958E+11,2.43117E+11,3.85583E+11
4.53049E+11,81184516000,89160191920,55532986250,1.24812E+11,2.28269E+11,1.18691E+11,48928952020,2.46346E+11,70792263520,1.07691E+11,2.02281E+11,1.16529E+11,2.53429E+11,1.96644E+11,1.66953E+11,93766794800,81893135760,1.36281E+11,2.88362E+11,52451814870,1.93048E+11,2.12496E+11,31550661120,75103629000,97072452200,98476896930,1.32555E+11,2.42108E+11,3.82018E+11
4.55261E+11,82338900480,90789790960,55869746050,1.23816E+11,2.3022E+11,1.1853E+11,49776101820,2.48077E+11,72867124000,1.07347E+11,2.04549E+11,1.18048E+11,2.56755E+11,2.02997E+11,1.6846E+11,95186292120,82658619920,1.38037E+11,2.89616E+11,53028208440,1.97285E+11,2.14522E+11,32148211520,76445673000,97650482870,1.00669E+11,1.35217E+11,2.46112E+11,3.84306E+11
4.58337E+11,85926330000,92260956760,55597747750,1.22663E+11,2.30917E+11,1.18655E+11,50090757460,2.51336E+11,71102145280,1.08493E+11,1.91513E+11,1.19169E+11,2.59178E+11,2.03786E+11,1.70898E+11,95436203620,83806846160,1.37862E+11,2.91957E+11,53042440380,2.0033E+11,2.1748E+11,32125803380,72561879000,99109322180,1.02033E+11,1.39939E+11,2.46698E+11,3.85055E+11
